id_zona	m2_comercio	m2_educ	N_h1	N_h2	N_h3	cap_res	cap_nores	precio
1	75	135	8	5	9	100	1000	4120
2	86	82	96	43	103	110	45	4415
3	99	138	55	41	39	120	50	4410
4	91	194	164	186	146	130	55	4405
5	95	74	63	107	156	140	60	4400
6	72	223	153	49	5	150	65	4395
7	73	216	11	76	136	160	70	4390
8	80	218	141	26	167	170	75	4385
9	64	129	184	30	45	180	80	4380
10	69	208	8	94	37	190	85	4375
11	21	266	30	16	133	200	90	4370
12	93	96	33	137	200	210	95	4365
13	61	158	29	164	91	220	100	4360
14	66	98	129	181	47	230	105	4355
15	66	257	114	34	162	240	110	4350
16	51	99	128	90	25	250	115	4345
17	58	149	85	139	184	260	120	4340
18	66	217	113	63	60	270	125	4335
19	98	184	45	93	48	280	130	4330
20	20	83	66	160	178	280	135	4325
21	100	273	36	50	130	280	140	4320
22	41	158	73	78	124	280	145	4315
23	82	221	112	38	198	280	150	4310
24	67	65	9	94	182	280	155	4305
25	45	200	31	185	7	280	160	4300
26	69	183	116	85	146	280	165	4295
27	62	163	129	179	6	280	170	4290
28	35	136	129	149	97	280	175	4285
29	29	130	29	69	162	280	180	4280
30	44	71	113	22	158	280	185	4275
31	18	291	80	29	84	280	190	4270
32	35	242	116	97	19	280	195	4265
33	30	200	128	23	24	280	200	4260
34	24	169	118	89	73	280	205	4255
35	22	167	50	157	181	280	210	4250
36	29	171	83	79	80	280	215	4245
37	6	71	63	77	178	280	220	4240
38	25	100	100	196	181	280	225	4235
39	2	200	143	111	138	280	230	4230
40	18	169	45	46	211	280	235	4225
41	16	165	78	152	276	280	240	4220
42	21	81	101	166	32	280	245	4215
43	22	128	96	160	18	280	250	4210
44	32	110	125	62	12	280	255	4205
45	20	51	71	100	57	280	260	4200
46	33	106	27	50	285	280	265	4195
47	8	114	73	81	141	280	270	4190
48	8	112	29	178	46	280	275	4185
49	12	65	56	73	14	280	280	3500
50	20	105	187	60	75	280	285	4175
51	14	112	96	180	226	280	290	4170
52	26	88	76	185	171	280	295	4165
53	12	154	45	27	289	280	300	4160
54	7	179	95	128	300	280	305	4155
55	31	54	106	87	363	280	310	4150
56	26	176	23	135	313	280	315	4145
57	26	164	121	145	200	280	320	4140
58	15	90	2	40	2	280	325	4135
59	2	130	45	84	297	280	330	4130
60	8	168	53	136	240	280	335	4125
61	0	110	37	61	331	280	340	4120
62	33	89	53	118	491	280	345	4115
63	9	177	11	44	370	280	350	4110
64	18	100	68	145	9	280	355	4105
65	2	110	7	120	25	280	360	4100
66	11	83	2	96	279	280	365	4095
67	2	196	7	95	423	280	370	4090
68	31	135	35	194	107	280	375	4085
69	20	56	55	193	275	280	380	4080
70	30	105	90	1	274	280	385	4075
71	20	101	40	40	40	280	390	4070
72	34	116	47	78	389	280	395	4065
73	12	154	14	187	302	280	400	4060
74	17	67	51	184	198	280	405	4055
75	16	163	100	57	356	280	410	4050
76	23	70	13	100	110	280	415	4045
77	13	152	88	142	107	280	420	4040
78	1	177	20	134	83	280	425	4035
79	3	190	25	125	370	280	430	4030
80	4	146	48	181	500	280	435	4025
81	2	135	10	126	272	280	440	4020
82	2	120	92	140	48	280	445	4015
83	1	162	27	140	376	280	450	4010
84	4	122	18	85	8	280	455	4005
85	0	57	13	67	352	280	460	4000
86	2	91	98	104	306	280	465	4000
87	5	190	7	127	3	290	470	4000
88	0	53	82	56	49	300	475	4000
89	4	54	14	196	324	310	480	4000
90	1	61	58	4	104	320	485	4000
91	2	90	31	170	477	330	490	4000
92	5	66	63	165	33	340	495	4000
93	3	51	29	189	394	350	500	4000
94	50	87	76	90	387	360	505	4000
95	3	72	21	57	361	370	510	4000
96	10	95	3	75	178	380	515	4000
97	30	71	26	167	119	390	520	4000
98	7	52	6	60	10	400	525	5100
99	23	80	100	155	188	410	530	5050
100	23	90	4	95	194	420	535	5000
